_id,ปีที่เกิดเหตุ,วันที่เกิดเหตุ,เวลา,วันที่รายงาน,เวลาที่รายงาน,ACC_CODE,หน่วยงาน,สายทางหน่วยงาน,รหัสสายทาง,สายทาง,KM,จังหวัด,รถคันที่1,บริเวณที่เกิดเหตุ,มูลเหตุสันนิษฐาน,ลักษณะการเกิดเหตุ,สภาพอากาศ,LATITUDE,LONGITUDE,รถที่เกิดเหตุ,รถและคนที่เกิดเหตุ,รถจักรยานยนต์,รถสามล้อเครื่อง,รถยนต์นั่งส่วนบุคคล,รถตู้,รถปิคอัพโดยสาร,รถโดยสารมากกว่า4ล้อ,รถปิคอัพบรรทุก4ล้อ,รถบรรทุก6ล้อ,รถบรรทุกไม่เกิน10ล้อ,รถบรรทุกมากกว่า10ล้อ,รถอีแต๋น,รถอื่นๆ,คนเดินเท้า,ผู้เสียชีวิต,ผู้บาดเจ็บสาหัส,ผู้บาดเจ็บเล็กน้อย,รวมจำนวนผู้บาดเจ็บ
11,2026,46023,0:30,46024,6:02,กรมทางหลวงชนบท,ทางหลวงชนบท,อท.2020,แยกทางหลวงหมายเลข 33 (กม.ที่ 59+640) - บ้านบางพลับ,15.5,อ่างทอง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,14.598688,100.39748,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
12,2026,46023,0:30,46024,15:10,กรมทางหลวงชนบท,ทางหลวงชนบท,ลพ.3017,แยกทางหลวงหมายเลข 106 (กม.ที่ 46+200) - บ้านนาทราย,2.9,ลำพูน,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถตามกระชั้นชิด,,แจ่มใส,17.748127,98.959194,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
13,2026,46023,0:40,46023,10:22,กรมทางหลวง,ทางหลวง,3291,เจดีย์หัก - หนองหอย,0.709,ราชบุรี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,13.54380097,99.79604488,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
14,2026,46023,0:40,46023,20:42,กรมทางหลวง,ทางหลวง,43,ปาแด - มะพร้าวต้นเดียว,93.588,ปัตตานี,รถปิคอัพบรรทุก 4 ล้อ,,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,6.801153363,101.2072577,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,
15,2026,46023,0:40,46024,10:26,กรมทางหลวง,ทางหลวง,214,ร้อยเอ็ด - จตุรพักตรพิมาน,69.4,ร้อยเอ็ด,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,15.85785502,103.5773581,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,
16,2026,46023,0:40,46024,5:55,กรมทางหลวงชนบท,ทางหลวงชนบท,พร.5031,แยกทางหลวงชนบท พร.3023 (กม.ที่ 7+250) - แยกทางหลวงชนบท พร.4016 (กม.ที่ 25+350),11.4,แพร่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,18.315718,100.168091,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
17,2026,46023,0:41,46023,18:45,กรมทางหลวง,ทางหลวง,4341,จอมทอง - เขาพลายดำ,5.758,นครศรีธรรมราช,รถจักรยานยนต์,,ไม่ยอมให้รถที่มีสิทธิ์ไปก่อน,ชนท้าย,แจ่มใส,9.045994224,99.9025914,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,
18,2026,46023,0:47,46023,15:13,กรมทางหลวง,ทางหลวง,4123,บ้านโพธิ์ - ห้วยยอด,0.9,ตรัง,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.595192711,99.64332864,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
19,2026,46023,0:59,46023,18:35,กรมทางหลวง,ทางหลวง,9,บางปะอิน - แขวงรามอินทรา,35.6,กรุงเทพมหานคร,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,อุปกรณ์ยานพาหนะบกพร่อง,อื่นๆ,แจ่มใส,13.8934967,100.6908171,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
20,2026,46023,1:00,46079,15:13,กรมทางหลวง,ทางหลวง,407,ควนหิน - เขารูปช้าง,18.985,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.105895416,100.5690891,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,2026,46023,1:00,46024,5:54,กรมทางหลวงชนบท,ทางหลวงชนบท,นธ.2024,แยกทางหลวงหมายเลข 42 (กม.ที่ 207+675) - บ้านศาลาใหม่,3.68,นราธิวาส,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,หลับใน,,มืดครึ้ม,6.320916,101.900645,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
22,2026,46023,1:13,46050,12:00,กรมทางหลวง,ทางหลวง,1090,แม่สอด - ห้วยน้ำริน,47.26,ตาก,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,,แจ่มใส,16.48058482,98.80535558,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,2026,46023,1:15,46023,15:01,กรมทางหลวง,ทางหลวง,121,เหมืองกุง - ต้นเปา,8.555,เชียงใหม่,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,18.72917813,99.02399853,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
24,2026,46023,1:15,46077,13:44,กรมทางหลวง,ทางหลวง,11,อุโมงค์ - รินคำ,556.56,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,18.80436841,99.01808426,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
25,2026,46023,1:20,46023,10:12,กรมทางหลวง,ทางหลวง,4,กระบุรี - หงาว,595.6,ระนอง,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,9.980670739,98.64403948,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
26,2026,46023,1:30,46038,12:31,กรมทางหลวง,ทางหลวง,4285,ท่ามิหรำ - โคกกอก,0.55,พัทลุง,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.610536992,100.0582932,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
27,2026,46023,1:30,46024,12:28,กรมทางหลวงชนบท,ทางหลวงชนบท,นฐ.4058,แยกทางหลวงหมายเลข 3040 (กม.ที่ 14+600) - แยกทางหลวงหมายเลข 3232 (กม.ที่ 9+100),0.1,นครปฐม,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,มีหมอก/ควัน/ฝุ่น,14.072657,99.870311,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
28,2026,46023,1:40,46044,11:47,กรมทางหลวง,ทางหลวง,410,ยะลา - ตะบิงติงงี,47.95,ยะลา,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,6.473915668,101.2659913,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,
29,2026,46023,1:45,46024,3:50,กรมทางหลวง,ทางหลวง,1001,เชียงใหม่ - บ้านโป่ง,2.28,เชียงใหม่,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,18.8297963,99.01238993,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
30,2026,46023,1:45,46025,13:01,กรมทางหลวงชนบท,ทางหลวงชนบท,ฉช.3010,แยกทางหลวงหมายเลข 331 (กม.ที่ 25+200) - บ้านหนองปลาดุก,0.9,ฉะเชิงเทรา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,,แจ่มใส,13.577058,101.288531,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,
31,2026,46023,1:55,46024,12:25,กรมทางหลวงชนบท,ทางหลวงชนบท,สส.2001,แยกทางหลวงหมายเลข 35 (กม.ที่ 57+300) - บางโทรัด,19.545,สมุทรสงคราม,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ไม่คุ้นเคยเส้นทาง/ขับรถไม่ชำนาญ,,แจ่มใส,13.448847,100.03208,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
32,2026,46023,2:00,46023,18:32,กรมทางหลวง,ทางหลวง,1,แยกประตูชัย - พาน,862,พะเยา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,19.33781474,99.81486663,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
33,2026,46023,2:00,46024,6:20,กรมทางหลวง,ทางหลวง,4021,เมืองภูเก็ต - ห้าแยกฉลอง,4.9,ภูเก็ต,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,7.83427169,98.34779619,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
34,2026,46023,2:02,46023,10:20,กรมทางหลวง,ทางหลวง,333,การุ้ง - อุทัยธานี,162.367,อุทัยธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,15.36415857,99.98438309,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
35,2026,46023,2:06,46025,13:01,กรมทางหลวงชนบท,ทางหลวงชนบท,สน.2040,แยกทางหลวงหมายเลข 22 (กม.ที่ 58+525) - บ้านคำน้อย (ตอนอุดรธานี),37.145,สกลนคร,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,17.254382,103.365167,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
36,2026,46023,2:15,46078,14:33,กรมทางหลวง,ทางหลวง,1001,เชียงใหม่ - บ้านโป่ง,7.73,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,18.87960506,99.01457727,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
37,2026,46023,2:20,46024,6:48,กรมทางหลวง,ทางหลวง,402,หมากปรก - เมืองภูเก็ต,47.9,ภูเก็ต,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,7.908671682,98.39137003,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,
38,2026,46023,2:30,46025,13:15,กรมทางหลวงชนบท,ทางหลวงชนบท,มส.5019,แยกทางหลวงชนบท มส.4001 (กม.ที่ 0+650) - บ้านดอยแสง,15.4,แม่ฮ่องสอน,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,19.370104,97.892415,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
39,2026,46023,2:38,46023,18:56,กรมทางหลวง,ทางหลวง,401,เขาหัวช้าง - สิชล,232.397,นครศรีธรรมราช,รถจักรยานยนต์,,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,8.969067959,99.89459253,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
40,2026,46023,2:40,46023,18:48,กรมทางหลวง,ทางหลวง,408,เฉลิมพระเกียรติ - ปากระวะ,55.264,นครศรีธรรมราช,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,8.047763493,100.2725333,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
41,2026,46023,2:50,46023,14:49,กรมทางหลวง,ทางหลวง,1,ร่องขุ่น - แยกแม่กรณ์,926.9,เชียงราย,รถจักรยานยนต์,,เมาสุรา,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,19.8605973,99.8195784,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
42,2026,46023,2:59,46056,17:56,กรมทางหลวง,ทางหลวง,21,สะพานพุแค - แยกมะนาวหวาน,5.1,สระบุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.7074262,100.898931,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,2026,46023,3:00,46024,4:42,กรมทางหลวง,ทางหลวง,2034,มุกดาหาร – คำภูเงิน,1.657,มุกดาหาร,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,16.52395953,104.7317541,7,7,2,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,1,
44,2026,46023,3:00,46024,4:53,กรมทางหลวง,ทางหลวง,2316,โคกผักหวาน - ท่ายม,8.3,อุดรธานี,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,เมาสุรา,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,17.08910522,102.8521572,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
45,2026,46023,3:00,46024,19:02,กรมทางหลวง,ทางหลวง,3145,บ้านเพ - ท่าเรือแกลง,3.2,ระยอง,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,12.63172579,101.4522298,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,
46,2026,46023,3:00,46025,13:00,กรมทางหลวงชนบท,ทางหลวงชนบท,พง.1004,แยกทางหลวงหมายเลข 4 (กม.ที่ 849+600) - บ้านคลองเคียน,18,พังงา,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,,แจ่มใส,8.771729,98.480319,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
47,2026,46023,3:03,46024,5:53,กรมทางหลวงชนบท,ทางหลวงชนบท,สส.2021,แยกทางหลวงหมายเลข 35 (กม.ที่ 73+200) - ชะอำ (ตอนชะอำ),76.9,เพชรบุรี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,แจ่มใส,12.852596,99.994325,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
48,2026,46023,3:05,46023,18:47,กรมทางหลวง,ทางหลวง,406,ปากจ่า - ค่ายรวมมิตร,18.55,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,7.170465963,100.3023413,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,2026,46023,3:10,46024,18:41,กรมทางหลวง,ทางหลวง,32,บางปะอิน - อยุธยา,0.03,อยุธยา,รถจักรยานยนต์,,ขับรถย้อนศร,ชนสิ่งกีดขวาง (บนผิวจราจร),แจ่มใส,14.17378485,100.617853,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,
50,2026,46023,3:13,46024,4:19,กรมทางหลวง,ทางหลวง,1295,กกไม้แดง - เนินมะปราง,25.45,พิษณุโลก,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,หลับใน,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,16.66156411,100.6152191,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
51,2026,46023,3:15,46025,14:00,กรมทางหลวงชนบท,ทางหลวงชนบท,สห.4003,แยกทางหลวงหมายเลข 3030 (กม.ที่ 1+200) - แยกทางหลวงชนบท สห.4002 (กม.ที่ 4+466),1.6,สิงห์บุรี,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,เมาสุรา,,มืดครึ้ม,14.873265,100.39204,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
52,2026,46023,3:15,46085,14:02,กรมทางหลวง,ทางหลวง,2,มวกเหล็ก - บ่อทอง,49.7,นครราชสีมา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.6579481,101.3302879,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
53,2026,46023,3:20,46024,6:36,กรมทางหลวง,ทางหลวง,4021,เมืองภูเก็ต - ห้าแยกฉลอง,5,ภูเก็ต,รถจักรยานยนต์,,คน/รถ/สัตว์ตัดหน้ากระชั้นชิด,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),แจ่มใส,7.833676941,98.34738985,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,
54,2026,46023,3:30,46023,21:16,กรมทางหลวง,ทางหลวง,2138,บ้านใหม่ - นาด้วง,7.475,เลย,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,17.46947322,101.7909144,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
55,2026,46023,3:30,46028,13:36,กรมทางหลวง,ทางหลวง,366,ทางเลี่ยงเมืองลพบุรี,10.99,ลพบุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.75747279,100.6011173,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,2026,46023,3:30,46062,9:26,กรมทางหลวง,ทางหลวง,32,ไชโย - สิงห์ใต้,69.4,สิงห์บุรี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ชนท้าย,แจ่มใส,14.74856746,100.4538533,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,
57,2026,46023,3:40,46079,14:57,กรมทางหลวง,ทางหลวง,408,ม่วงงาม - ทุ่งหวัง,163.97,สงขลา,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางโค้ง,แจ่มใส,7.160898,100.5553561,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,2026,46023,4:00,46058,10:19,กรมทางหลวง,ทางหลวง,3214,บ้านพร้าว - คลองห้า,2.93,ปทุมธานี,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ใช้โทรศัพท์เคลื่อนที่ขณะขับรถ,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,14.06562933,100.5984083,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,2026,46023,4:20,46023,11:29,กรมทางหลวง,ทางหลวง,3256,บางปู - บางพลี,1.2,สมุทรปราการ,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,13.52633408,100.6851509,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
60,2026,46023,4:20,46024,5:05,กรมทางหลวง,ทางหลวง,402,โคกกลอย - หมากปรก,2.5,พังงา,คนเดินเท้า,ทางตรง+ไม่มีความลาดชัน,ความประมาท/เร่งรีบ (วิ่งตัดหน้า),ชนคนเดินเท้า,แจ่มใส,8.255789692,98.30001366,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,
61,2026,46023,4:30,46023,16:40,กรมทางหลวง,ทางหลวง,2089,คลองท่าข้าม - น้ำตกวังก้านเหลือง,50,ลพบุรี,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,พลิกคว่ำ/ตกถนนในทางตรง,แจ่มใส,15.05087592,101.1205901,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
